codigo_produto;descricao;um;qtde_cx;codigo_barras;tipo;descricao_tecnica;estoque;preco;preco_promocional
10.064;RETIFICADEIRA 127V M9100B MAKITA;PC;;088381733502;FERRAMENTAS;"Retificadeira de 110 Volts - M9100B-127V - MAKITA

Informações Gerais:
- Ideal para trabalhos profissionais.
- Alta rotação.
- Dupla isolação.

Características Técnicas:
- Potência: 480W
- Capacidade da pinça: 6mm
- Diâmetro máximo do acessório: 20mm
- Rotações por minuto: 33.000
- Comprimento total: 350mm
- Peso: 1.4kg

* Imagens meramente ilustrativas.";2;563,99;0
252.646;PLACA 4X2 1INTER.HORIZ+SUPORTE BRANCO NO;PC;1;7892594110639;MATERIAIS ELÉTRICOS;"Placa 4x2 para 1 Interruptor Horizontal + Suporte Branco 
- C1100-63 - DICOMPEL  ";7;17,99;0
10.065;DUREPOXI SECA EM 2H C/100GR ALBA QUIMICA;PC;48;7891093019962;TINTAS E ACESSÓRIOS;"Durepoxi Seca em 2h com 100 com Gramas - 1621094 - LOCTITE

Descrição:
O epóxi mais vendido no Brasil! Loctite Durepoxi é um produto epoxi bi componente fácil de usar, extra forte e resistente. Solda a frio, molda, fixa, veda e reconstrói diversos tipos de materiais com praticidade, qualidade e durabilidade. Após aplicação, permite acabamento final com tinta e/ou verniz, serra ou lixa. Endurece até de baixo d'água.

Indicação de Uso:
Metal, vidro, cerâmica, cimento, mármore e plástico.

* Não adere a materiais à base de polietileno, polipropileno, silicone e PTFE (Politetrafluoretileno - resina antiaderente)

Benefícios:
- Solda, molda, veda e fixa com praticidade, rapidez e segurança
- Extra forte e resistente
- Endurece até debaixo d'água
- Resultados perfeitos: acabamento final com tinta e/ou verniz, serra ou lixa

* Imagem meramente ilustrativa.

";38;19,9;0
10.066;RETIFICADEIRA 220V M9100B MAKITA;PC;;088381816465;FERRAMENTAS;"Retificadeira de 220 Volts - M9100B-220V - MAKITA

Informações Gerais:
- Ideal para trabalhos profissionais.
- Alta rotação.
- Dupla isolação.

Característcas Técnicas:
- Potência: 480W
- Capacidade da pinça: 6mm
- Diâmetro máximo do acessório: 20mm
- Rotações por minuto: 33.000
- Comprimento total: 350mm
- Peso: 1.4kg

Item incluso:
1 Chave.

* Imagens meramente ilustrativas.";2;563,99;0
10.069;MARTELO DEMOLIDOR 17MM 220V M8600B MAKITA;PC;;088381696821;FERRAMENTAS;"Martelo Demolidor 17mm 220 Volts - M8600B - Makita

Descrição: 
- Ideal para romper concreto, remover pisos e azulejos.
- Rápida troca do ponteiro.
- Dupla isolação.
- Encaixe sextavado 17mm.

Especificações Técnicas:
- Potência: 900 Watts
- Impactos por minuto: 2.900
- Força: 7.2 joules
- Emissão de vibrações: 16.5 m|s²
- Incerteza K: 1.5m|s²

Medidas e Peso:
- Dimensões (C x L x A): 406 x 99 x 232mm
- Peso: 5,4kg

Ítens que acompanham: 
- Punho lateral e maleta.

Observação: Não acompanha o Ponteiro.

* Imagem meramente ilustrativa.
";7;1.719,99;0
10.070;MARTELETE COMBINADO 26MM 127V M8701B MAKITA;PC;;088381730679;FERRAMENTAS;"Martelete Combinado SDS Plus 26 mm 800 Watts - M8701B - MAKITA

Características:
- Ideal para trabalhos profissionais.
- 3 modos de operação.
- Dupla isolação.
- Velocidade variável.
- Rotação reversível.
- Encaixe SDS PLUS.
- Limitador de torque.
- Adaptável a coletor/aspirador de pó.

Capacidades:
- Concreto: 26mm
- Aço: 13mm
- Madeira: 32mm

Especificações:
- Potência: 800W
- Rotações por minuto: 0 - 1.200
- Impactos por minuto: 0 - 4.500

Dimensões:
- Comprimento: 362 mm
- Largura: 71 mm
- Altura: 194 mm
- Peso: 2,7 kg

Itens inclusos:
- Punho lateral
- Limitador de profundidade
- Maleta

* Imagens meramente ilustrativas";23;849,9;0
10.071;MARTELETE COMBINADO 26MM 220V M8701B MAKITA;PC;;088381831390;FERRAMENTAS;"Martelete Combinado SDS Plus 26 mm 800 Watts - M8701B - MAKITA

Características:
- Ideal para trabalhos profissionais.
- 3 modos de operação.
- Dupla isolação.
- Velocidade variável.
- Rotação reversível.
- Encaixe SDS PLUS.
- Limitador de torque.
- Adaptável a coletor/aspirador de pó.

Capacidades:
- Concreto: 26mm
- Aço: 13mm
- Madeira: 32mm

Especificações:
- Potência: 800W
- Rotações por minuto: 0 - 1.200
- Impactos por minuto: 0 - 4.500

Dimensões:
- Comprimento: 362 mm
- Largura: 71 mm
- Altura: 194 mm
- Peso: 2,7 kg

Itens inclusos:
- Punho lateral
- Limitador de profundidade
- Maleta

* Imagens meramente ilustrativas";24;849,9;0
10.072;LIXADEIRA ROTORBITAL 125MM 5POL.127V M9204B MAKITA;PC;;088381729956;FERRAMENTAS;"Lixadeira Rotorbital 125mm 5"" 240 Watts - M9204B - MAKITA

Características:
- Potência: 240W
- Diâmetro do disco: 125mm / 5""
- Rotação: 12.000 opm
- Peso: 1,200 kg

* Imagens meramente ilustrativas";12;581,99;0
10.073;DUREPOXI SECA EM 2H C/250GR ALBA QUIMICA;PC;16;7891200007912;TINTAS E ACESSÓRIOS;"Durepoxi Seca em 2h com 250 Gramas - 1621092 - LOCTITE

Descrição:
O epóxi mais vendido no Brasil! Loctite Durepoxi é um produto epoxi bi componente fácil de usar, extra forte e resistente. Solda a frio, molda, fixa, veda e reconstrói diversos tipos de materiais com praticidade, qualidade e durabilidade. Após aplicação, permite acabamento final com tinta e/ou verniz, serra ou lixa. Endurece até de baixo d'água.

Indicação de Uso:
Metal, vidro, cerâmica, cimento, mármore e plástico.

*Não adere a materiais à base de polietileno, polipropileno, silicone e PTFE (Politetrafluoretileno - resina antiaderente)

Benefícios:
- Solda, molda, veda e fixa com praticidade, rapidez e segurança
- Extra forte e resistente
- Endurece até debaixo d'água
- Resultados perfeitos: acabamento final com tinta e/ou verniz, serra ou lixa

* Imagem meramente ilustrativa.


";30;25,9;0
10.074;LIXADEIRA ROTORBITAL 125MM 5POL.220V M9204B MAKITA;PC;;088381815512;FERRAMENTAS;"Lixadeira Rotorbital 125mm 5"" 240 Watts - M9204B - MAKITA

Características:
- Potência: 240W
- Diâmetro do disco: 125mm / 5""
- Rotação: 12.000 opm
- Peso: 1,200 kg

* Imagens meramente ilustrativas";9;581,99;0
